0 1 0 3 0 0 0 7 8
0 9 8 0 5 0 0 0 0
3 7 0 0 8 6 5 0 0
7 5 0 0 0 0 0 0 0
0 0 1 6 4 5 9 0 0
0 0 0 0 0 0 0 5 1
0 0 9 8 6 0 0 2 5
0 0 0 0 2 0 8 4 0
2 8 0 0 0 4 0 9 0
6 8 0 0 0 1 0 0 3
0 0 7 0 0 4 0 0 0
0 0 0 8 2 0 0 0 0
8 7 0 0 0 9 2 0 4
0 4 0 3 0 2 0 8 0
2 0 3 4 0 0 0 9 6
0 0 0 0 3 6 0 0 0
0 0 0 5 0 0 4 0 0
7 0 0 2 0 0 0 6 5
0 1 0 3 0 0 0 7 8
0 9 8 0 5 0 0 0 0
3 7 0 0 8 6 5 0 0
7 5 0 0 0 0 0 0 0
0 0 1 6 4 5 9 0 0
0 0 0 0 0 0 0 5 1
0 0 9 8 6 0 0 2 5
0 0 0 0 2 0 8 4 0
2 8 0 0 0 4 0 9 0
0 7 8 6 0 5 0 0 0
0 0 0 0 0 9 0 2 8
1 2 0 0 0 0 9 0 6
0 9 0 0 4 0 2 0 3
0 3 6 0 0 0 8 4 0
5 0 2 0 6 0 0 9 0
6 0 4 0 0 0 0 7 2
3 1 0 2 0 0 0 0 0
0 0 0 4 0 3 6 1 0
